2026-03-14 22:03:50,350 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:50,352 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "e89ceb39", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 6.95, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:50,353 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "e89ceb39", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 8.0, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:50,534 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:50,535 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "db3fddec", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 6.4, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:50,536 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "db3fddec", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 7.07, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:50,710 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:50,711 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "59b0c3ee", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 6.99, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:50,712 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "59b0c3ee", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 8.2, "save_ativo": "alexandre_paiva", "outcome": "error"}
2026-03-14 22:03:50,888 | ERROR | tennislegacy | {"event": "erro_ao_jogar_ponto", "reason": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "error_type": "TypeError", "error": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "root_cause_type": "TypeError", "root_cause": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "cause_chain": [{"type": "TypeError", "message": "ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'"}], "traceback": "Traceback (most recent call last):\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/partida.py\", line 77, in ponto\n    runtime = obter_match_runtime(body.partida_id)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 1017, in obter_match_runtime\n    runtime = MatchRuntime.from_snapshot(payload)\n  File \"/home/alexandre-paiva/Documentos/estudos/tennislegacy/api/routes/_match_runtime.py\", line 346, in from_snapshot\n    runtime.contexto_partida = ContextoPartida(\n                               ~~~~~~~~~~~~~~~^\n        **payload.get(\"contexto_partida\", {})\n        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n    )\n    ^\nTypeError: ContextoPartida.__init__() got an unexpected keyword argument 'mentalidade'", "partida_id": "338f1e52e5064f188f1d743389680702", "causa_provavel": "Runtime de partida pode ter sido perdido ap\u00f3s restart do servidor."}
2026-03-14 22:03:50,890 | ERROR | tennislegacy | {"event": "http_exception", "request_id": "be5f0360", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "detail": "Erro ao processar ponto.", "reason": "Erro ao processar ponto.", "duration_ms": 7.09, "save_ativo": "alexandre_paiva"}
2026-03-14 22:03:50,891 | WARNING | tennislegacy | {"event": "request_complete", "request_id": "be5f0360", "method": "POST", "path": "/api/partida/ponto", "query": "", "status_code": 500, "duration_ms": 8.29, "save_ativo": "alexandre_paiva", "outcome": "error"}
